full_name,sgg_code,sido_name,sig_name,lat,lon
강원도 강릉시,42150,강원도,강릉시,37.709102,128.8323789
강원도 고성군,42820,강원도,고성군,38.3627536,128.4111555
강원도 동해시,42170,강원도,동해시,37.5066814,129.0555688
강원도 삼척시,42230,강원도,삼척시,37.2774809,129.12171
강원도 속초시,42210,강원도,속초시,38.1760314,128.519541
강원도 양구군,42800,강원도,양구군,38.1756088,128.0002064
강원도 양양군,42830,강원도,양양군,38.0044863,128.5950086
강원도 영월군,42750,강원도,영월군,37.2041136,128.500296
강원도 원주시,42130,강원도,원주시,37.3082229,127.9295253
강원도 인제군,42810,강원도,인제군,38.0646003,128.2647272
강원도 정선군,42770,강원도,정선군,37.3786863,128.7390632
강원도 철원군,42780,강원도,철원군,38.2390852,127.3989244
강원도 춘천시,42110,강원도,춘천시,37.8897968,127.7398684
강원도 태백시,42190,강원도,태백시,37.1723124,128.9800726
강원도 평창군,42760,강원도,평창군,37.5568392,128.48259
강원도 홍천군,42720,강원도,홍천군,37.7450491,128.0742609
강원도 화천군,42790,강원도,화천군,38.1384263,127.6851657
강원도 횡성군,42730,강원도,횡성군,37.5091421,128.0770674
경기도 가평군,41820,경기도,가평군,37.8184332,127.4501921
경기도 고양시,41280,경기도,고양시,37.6798651,126.7975582
경기도 고양시덕양구,41281,경기도,고양시덕양구,37.6558099,126.8786321
경기도 고양시일산동구,41285,경기도,고양시일산동구,37.6798651,126.7975582
경기도 고양시일산서구,41287,경기도,고양시일산서구,37.6802051,126.7279835
경기도 과천시,41290,경기도,과천시,37.4338453,127.0026795
경기도 광명시,41210,경기도,광명시,37.4451591,126.8647013
경기도 광주시,41610,경기도,광주시,37.4030907,127.301176
경기도 구리시,41310,경기도,구리시,37.5992215,127.1312299
경기도 군포시,41410,경기도,군포시,37.3434827,126.9211347
경기도 김포시,41570,경기도,김포시,37.6817724,126.6264306
경기도 남양주시,41360,경기도,남양주시,37.6625298,127.2436606
경기도 동두천시,41250,경기도,동두천시,37.9165376,127.0779127
경기도 부천시,41190,경기도,부천시,37.5042583,126.7887109
경기도 성남시,41130,경기도,성남시,37.42141877364625,127.11768811017022
경기도 성남시 분당구,41135,경기도,성남시 분당구,37.3793016,127.106064
경기도 성남시 수정구,41131,경기도,성남시 수정구,37.4351662,127.1041452
경기도 성남시 중원구,41133,경기도,성남시 중원구,37.4334332,127.1639099
경기도 수원시,41110,경기도,수원시,37.27746367089082,127.01623866322633
경기도 수원시 권선구,41113,경기도,수원시 권선구,37.2605302,126.9797438
경기도 수원시 영통구,41117,경기도,수원시 영통구,37.2749904,127.0566989
경기도 수원시 장안구,41111,경기도,수원시 장안구,37.3139657,127.0034517
경기도 수원시 팔달구,41115,경기도,수원시 팔달구,37.2774636,127.0162387
경기도 시흥시,41390,경기도,시흥시,37.3893974,126.7883928
경기도 안산시,41270,경기도,안산시,37.29896435,126.78242810000002
경기도 안산시단원구,41273,경기도,안산시단원구,37.2819249,126.6940412
경기도 안산시상록구,41271,경기도,안산시상록구,37.3160038,126.870815
경기도 안성시,41550,경기도,안성시,37.0350271,127.3027223
경기도 안양시,41170,경기도,안양시,37.4022626,126.93344415
경기도 안양시동안구,41173,경기도,안양시동안구,37.4003918,126.9555027
경기도 안양시만안구,41171,경기도,안양시만안구,37.4041334,126.9113856
경기도 양주시,41630,경기도,양주시,37.8086576,127.0011349
경기도 양평군,41830,경기도,양평군,37.5180558,127.5792645
경기도 여주시,41670,경기도,여주시,37.3024584,127.6157373
경기도 연천군,41800,경기도,연천군,38.0927299,127.0244564
경기도 오산시,41370,경기도,오산시,37.1632907,127.0513297
경기도 용인시,41460,경기도,용인시,37.2674266,127.1213215
경기도 용인시기흥구,41463,경기도,용인시기흥구,37.2674266,127.1213215
경기도 용인시수지구,41465,경기도,용인시수지구,37.3334474,127.0715511
